idx,beta_1,beta_2,beta_3,T_star,Q0,g_inel_hard
416,-0.00130,0.40530,0.32930,0.45206,2.47000,0.17590
417,-0.48010,-0.59790,0.87650,0.25214,2.89000,0.15430
418,0.78150,-0.47630,-0.22930,0.46770,1.98600,0.38830
419,-0.80690,-0.33570,0.41670,0.43098,1.10600,0.19210
420,-0.30530,-0.29390,-0.35470,0.40378,2.24600,0.31270
421,-0.22550,-0.23310,0.83850,0.44050,2.28600,0.13090
422,-0.08870,-0.25970,0.08610,0.29838,1.90600,0.24910
423,-0.08490,0.02150,0.46610,0.19502,2.55000,0.22870
424,-0.74230,0.72830,-0.13430,0.43030,2.30200,0.38650
425,0.69410,-0.40790,-0.75370,0.21134,2.08200,0.31690
426,-0.41170,0.22670,0.18110,0.31130,1.09400,0.29770
427,-0.48770,0.43190,-0.86390,0.23990,2.61800,0.19390
428,0.75110,-0.21030,0.97910,0.34666,2.05000,0.19030
429,0.06330,0.24190,0.71310,0.47042,1.17000,0.12370
430,0.10510,0.39390,-0.17230,0.30722,2.22600,0.27970
431,0.20010,0.04050,0.20770,0.24602,1.36600,0.17890
432,-0.36610,-0.81070,0.64850,0.35754,2.47400,0.14710
433,-0.59030,0.32930,-0.23310,0.17530,1.97000,0.24070
434,0.48130,-0.39270,-0.24070,0.38746,1.31000,0.28510
435,0.97150,0.71690,-0.26730,0.27254,2.49000,0.23950
436,-0.54470,0.65230,0.16590,0.41738,1.46600,0.34150
437,-0.24450,0.56490,-0.09250,0.47178,1.33800,0.24010
438,0.79290,-0.31670,-0.60170,0.22698,1.66200,0.18490
439,-0.71570,-0.65870,0.41290,0.24534,1.23400,0.37270
440,-0.43830,0.28750,0.10130,0.36434,2.05400,0.22390
441,0.13550,-0.51430,-0.68150,0.19434,2.39000,0.24850
442,0.29510,-0.65490,0.08990,0.39086,2.62600,0.29470
443,0.47370,0.54590,0.50790,0.17734,2.21000,0.30070
444,0.40150,0.58010,0.29890,0.23854,1.91000,0.16990
445,0.63710,-0.56750,-0.50290,0.25486,2.57800,0.16210
446,-0.22930,0.94870,0.16970,0.45342,2.10600,0.27130
447,0.05950,-0.49530,0.58770,0.17258,1.30200,0.29170
448,-0.06970,-0.70430,0.49650,0.33918,2.29000,0.31630
449,0.18110,0.25710,-0.33570,0.32218,2.43000,0.15010
450,0.38630,0.38250,-0.37750,0.22970,2.93800,0.19750
451,-0.28630,0.77390,-0.12290,0.36230,1.96600,0.32950
452,0.42810,-0.79930,0.07470,0.46566,1.01400,0.26530
453,-0.82210,-0.63210,-0.02030,0.31810,1.05000,0.14650
454,-0.15710,0.15450,0.36730,0.26302,1.57800,0.12490
455,0.81190,0.12030,0.64470,0.36774,1.49000,0.31750
456,-0.19510,0.05950,0.68270,0.31470,1.16200,0.23890
457,0.28370,-0.48390,0.90310,0.47246,1.07000,0.35710
458,0.08230,0.89930,-0.31290,0.26166,1.89400,0.13750
459,-0.86010,0.00250,-0.27870,0.37930,2.86200,0.21310
460,0.51550,-0.35850,-0.54090,0.25010,1.13800,0.22750
461,0.45090,0.50790,0.40530,0.32762,1.32200,0.33910
462,-0.27870,-0.19890,0.47750,0.19162,1.47000,0.39610
463,-0.31670,0.22290,-0.60930,0.24058,2.18200,0.36550
464,0.27230,0.77010,-0.48770,0.49626,2.70600,0.22630
465,0.91830,0.16970,-0.04310,0.24942,2.52600,0.30250
466,-0.68530,0.49270,0.48130,0.44322,1.83400,0.14530
467,0.01770,0.21150,-0.27110,0.35686,2.66600,0.28870
468,-0.55230,-0.78410,-0.18750,0.33510,1.67000,0.16810
469,0.86890,-0.09250,0.09750,0.27866,1.38200,0.35950
470,0.24570,0.15070,0.53070,0.44730,2.75000,0.16930
471,-0.60550,0.75110,0.15070,0.35346,2.46200,0.19870
472,0.67130,0.58770,0.89930,0.30586,2.35000,0.13150
473,-0.52950,0.31790,0.80050,0.30042,2.16600,0.34810
474,0.27610,-0.45730,-0.43450,0.39494,1.71000,0.38470
475,-0.50670,-0.12670,0.91830,0.39902,1.71800,0.17230
476,-0.32810,-0.58650,-0.32430,0.20862,1.89000,0.27910
477,0.23810,0.21530,-0.77270,0.28206,1.61800,0.21250
478,-0.39270,0.57630,0.59910,0.28342,2.31800,0.32650
479,0.12410,0.16210,-0.74990,0.38882,2.60200,0.11410
480,0.96390,0.82710,0.33310,0.40514,1.74200,0.22450
481,0.39770,-0.52570,-0.40790,0.27458,1.20200,0.15550
482,-0.10390,-0.49150,0.26470,0.43982,1.43000,0.36970
483,0.20770,-0.43830,0.86130,0.23310,1.48600,0.27190
484,-0.54090,-0.32430,-0.25590,0.46158,1.83000,0.22570
485,0.26090,-0.55990,-0.25210,0.29974,2.32200,0.30670
486,0.31030,-0.27870,0.31410,0.32286,1.51000,0.39010
487,-0.20270,-0.11150,-0.71190,0.38406,2.17400,0.24130
488,0.61050,0.00630,0.43570,0.44594,1.35000,0.21370
489,-0.63210,-0.05070,0.21910,0.17802,2.41400,0.16750
490,-0.36990,0.26090,0.51550,0.46498,2.86600,0.33610
491,0.62190,0.36350,-0.09630,0.35074,1.75400,0.20410
492,-0.60930,0.26850,0.33690,0.28070,1.85800,0.26770
493,0.96010,0.14310,-0.14950,0.38610,1.89800,0.18370
494,0.56110,0.42810,0.42050,0.25078,1.63000,0.10030
495,0.37870,-0.27110,0.50030,0.25146,2.54600,0.34990
496,-0.62070,-0.25210,-0.64350,0.33238,1.58200,0.28210
497,0.13170,0.74350,0.56870,0.37318,1.39400,0.29830
498,0.43950,-0.44970,0.02150,0.34122,1.87400,0.32770
499,0.18870,0.83470,-0.38890,0.23242,1.99800,0.25450
